EstadoCivil,Curso,QualificacaoAnterior,QualificacaoAnteriorGrau,Nacionalidade,NotaAdmissao,NecessidadesEspeciais,Devedor,MensalidadesEmDia,Genero,Bolsista,International,UnidadesCurriculares1SemestreCreditado,UnidadesCurriculares1SemestreInscrito,UnidadesCurriculares1SemestreAvaliacoes,UnidadesCurriculares1SemestreAprovado,UnidadesCurriculares1SemestreGrau,UnidadesCurriculares1SemestreSemAvaliacoes,UnidadesCurriculares2SemestreCreditado,UnidadesCurriculares2SemestreInscrito,UnidadesCurriculares2SemestreAvaliacoes,UnidadesCurriculares2SemestreAprovado,UnidadesCurriculares2SemestreGrau,UnidadesCurriculares2SemestreSemAvaliacoes,TaxaDesemprego,TaxaInflacao,PIB,Target,target_class,target,target_excl_enrolled
Solteiro,Gestão de Publicidade e Marketing,Ensino Secundário,139.0,Português,130.6,0,0,1,Feminino,0,0,0,6,6,6,12.333333333333304,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,136.0,Português,119.3,0,0,1,Feminino,1,0,0,8,8,7,13.2142857142857,0,0,8,8,7,13.2142857142857,0,12.7,3.7,-1.7,Graduado,Graduado,0,0
Solteiro,Ensino Básico,Ensino Secundário,133.0,Português,130.2,0,0,1,Feminino,0,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Desistente,Desistente,1,1
Solteiro,Turismo,Curso Técnico Superior Profissional,110.0,Português,111.8,0,0,1,Feminino,1,0,0,6,7,6,10.571428571428502,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduado,Graduado,0,0
Solteiro,Enfermagem Veterinária,Ensino Secundário,149.0,Português,137.1,0,0,1,Feminino,1,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduado,Graduado,0,0
Solteiro,Jornalismo e Comunicação,Ensino Secundário,127.0,Português,120.7,0,0,1,Feminino,0,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Desistente,Desistente,1,1
Solteiro,Serviço Social,Ensino Secundário,137.0,Português,137.4,0,0,1,Feminino,0,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Matriculado,Matriculado,0,
Solteiro,Enfermagem,Ensino Secundário,135.0,Português,127.3,0,0,1,Feminino,0,0,0,7,8,7,13.30625,0,0,8,8,8,14.544999999999998,0,15.5,2.8,-4.06,Graduado,Graduado,0,0
Solteiro,Equincultura,Ensino Secundário,137.0,Português,136.3,0,0,1,Feminino,0,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduado,Graduado,0,0
Solteiro,Ensino Básico,Ensino Secundário,140.0,Português,124.6,0,0,1,Feminino,0,0,0,7,7,6,11.666666666666602,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Matriculado,Matriculado,0,
Solteiro,Design de Animação e Multimédia,Ensino Secundário,122.0,Português,120.3,0,0,1,Feminino,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduado,Graduado,0,0
Solteiro,Higiene Oral,Ensino Secundário,127.0,Português,121.8,0,0,1,Feminino,0,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Matriculado,Matriculado,0,
Solteiro,Enfermagem,Ensino Secundário,142.0,Português,125.5,0,0,1,Feminino,0,0,0,8,12,7,12.857142857142804,0,0,8,12,7,12.857142857142804,0,12.7,3.7,-1.7,Graduado,Graduado,0,0
Solteiro,Gestão de Publicidade e Marketing,Ensino Secundário,125.0,Português,114.9,0,0,1,Feminino,1,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714198,0,11.1,0.6,2.02,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,126.0,Português,123.9,0,0,1,Feminino,0,0,0,7,8,6,13.2966666666666,0,0,8,9,7,14.114285714285703,0,11.1,0.6,2.02,Graduado,Graduado,0,0
Solteiro,Serviço Social,Ensino Secundário,151.0,Português,157.0,0,1,1,Feminino,1,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Matriculado,Matriculado,0,
Solteiro,Serviço Social,Ensino Secundário,115.0,Português,116.4,0,0,1,Feminino,0,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714198,0,16.2,0.3,-0.92,Graduado,Graduado,0,0
Solteiro,Enfermagem Veterinária,Ensino Secundário,138.0,Português,131.0,0,0,1,Feminino,0,0,0,5,9,5,12.666666666666602,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Matriculado,Matriculado,0,
Solteiro,Gestão,Ensino Secundário,135.0,Português,122.1,0,0,1,Feminino,0,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333304,0,16.2,0.3,-0.92,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,127.0,Português,118.8,0,0,1,Masculino,0,0,0,7,9,6,12.933333333333303,0,0,7,7,6,13.716666666666601,0,16.2,0.3,-0.92,Matriculado,Matriculado,0,
Solteiro,Agronomia,Curso de Especialização Tecnológica,150.0,Português,150.0,0,0,1,Masculino,0,0,0,6,15,5,11.857142857142803,0,0,6,17,5,10.571428571428502,0,16.2,0.3,-0.92,Matriculado,Matriculado,0,
Solteiro,Design de Comunicação,Ensino Secundário,125.0,Português,130.0,0,0,1,Masculino,0,0,2,6,7,6,12.833333333333304,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduado,Graduado,0,0
Solteiro,Gestão,Ensino Secundário,143.0,Português,138.8,0,0,0,Masculino,0,0,0,5,9,3,11.333333333333304,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Matriculado,Matriculado,0,
Solteiro,Serviço Social (prestação nocturna),Ensino Secundário,138.0,Português,134.5,0,0,1,Feminino,0,0,0,6,6,6,12.666666666666602,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduado,Graduado,0,0
Solteiro,Gestão (presencial noturno),Ensino Secundário,130.0,Português,131.4,0,0,1,Masculino,0,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571399,0,13.9,-0.3,0.79,Graduado,Graduado,0,0
Solteiro,Tecnologias de Produção de Biocombustíveis,Ensino Secundário,130.0,Português,102.5,0,1,0,Masculino,0,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Desistente,Desistente,1,1
Solteiro,Engenharia Informática,11º Ano de Escolaridade - Não Concluído,133.1,Português,128.8,0,0,1,Masculino,0,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Desistente,Desistente,1,1
Solteiro,Gestão,Ensino Secundário,140.0,Português,122.9,0,0,1,Feminino,0,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Desistente,Desistente,1,1
Divorciado,Gestão (presencial noturno),Ensino Secundário,120.0,Português,113.9,0,0,1,Feminino,0,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduado,Graduado,0,0
Solteiro,Equincultura,Curso de Especialização Tecnológica,120.0,Espanhol,120.0,0,1,0,Feminino,0,1,2,6,13,3,11.666666666666602,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Desistente,Desistente,1,1
Solteiro,Jornalismo e Comunicação,Ensino Secundário,126.0,Português,121.1,0,1,1,Feminino,0,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Desistente,Desistente,1,1
Solteiro,Gestão,Ensino Secundário,133.0,Português,120.4,0,0,1,Feminino,0,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,103.0,Português,100.6,1,0,1,Feminino,0,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857095,0,11.1,0.6,2.02,Graduado,Graduado,0,0
Solteiro,Jornalismo e Comunicação,Ensino Secundário,120.0,Português,121.4,0,0,0,Feminino,0,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Desistente,Desistente,1,1
Solteiro,Gestão (presencial noturno),Ensino Secundário,133.1,Português,109.7,0,0,1,Feminino,0,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Desistente,Desistente,1,1
Solteiro,Gestão (presencial noturno),Ensino Secundário,154.0,Português,134.1,0,0,1,Feminino,0,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333304,1,7.6,2.6,0.32,Matriculado,Matriculado,0,
Solteiro,Serviço Social,Ensino Secundário,130.0,Português,127.6,0,0,1,Feminino,0,0,0,6,6,6,11.666666666666602,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,132.0,Português,132.4,0,0,1,Feminino,1,0,0,7,8,6,13.5166666666666,0,0,8,9,7,13.771428571428505,0,11.1,0.6,2.02,Graduado,Graduado,0,0
Solteiro,Serviço Social (prestação nocturna),Curso de Especialização Tecnológica,130.0,Português,133.4,0,0,1,Feminino,1,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714198,0,12.4,0.5,1.79,Graduado,Graduado,0,0
Solteiro,Serviço Social,Ensino Secundário,139.0,Português,126.1,0,0,1,Feminino,1,0,0,6,7,5,12.333333333333304,0,0,6,7,6,12.833333333333304,0,12.7,3.7,-1.7,Graduado,Graduado,0,0
Solteiro,Turismo,Ensino Secundário,130.0,Português,113.5,0,0,1,Feminino,1,0,0,6,6,6,13.6666666666666,0,0,6,6,6,14.1666666666666,0,12.4,0.5,1.79,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,139.0,Português,121.3,0,0,1,Feminino,1,0,0,8,10,6,11.833333333333304,0,0,8,10,6,11.833333333333304,0,9.4,-0.8,-3.12,Matriculado,Matriculado,0,
Solteiro,Jornalismo e Comunicação,Ensino Secundário,127.0,Português,121.8,0,0,1,Feminino,1,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Matriculado,Matriculado,0,
Solteiro,Equincultura,Ensino Secundário,167.0,Português,159.3,0,0,1,Feminino,0,0,0,5,7,5,14.714285714285703,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduado,Graduado,0,0
Solteiro,Gestão (presencial noturno),Ensino Secundário,130.0,Português,120.0,0,0,1,Feminino,0,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Desistente,Desistente,1,1
Solteiro,Enfermagem,Ensino Secundário,130.0,Português,129.1,0,0,1,Feminino,0,0,0,7,9,7,13.0444444444444,0,0,8,10,8,13.594999999999999,0,15.5,2.8,-4.06,Graduado,Graduado,0,0
Casado,Turismo,Ensino Superior - Licenciatura,130.0,Português,130.0,0,0,1,Feminino,0,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Desistente,Desistente,1,1
Solteiro,Equincultura,Ensino Superior - Licenciatura (1º Ciclo),129.0,Português,155.3,0,0,1,Feminino,0,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Desistente,Desistente,1,1
Solteiro,Enfermagem,Ensino Secundário,141.0,Português,139.8,0,0,1,Feminino,0,0,0,8,8,8,14.934999999999999,0,0,8,8,8,14.934999999999999,0,9.4,-0.8,-3.12,Graduado,Graduado,0,0
Solteiro,Design de Animação e Multimédia,Ensino Secundário,125.0,Português,115.2,0,0,1,Feminino,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Matriculado,Matriculado,0,
Solteiro,Enfermagem,Ensino Secundário,125.0,Português,114.9,0,0,1,Feminino,0,0,0,7,8,6,13.133333333333303,0,0,8,12,7,12.221428571428502,0,16.2,0.3,-0.92,Graduado,Graduado,0,0
Solteiro,Serviço Social,Curso de Especialização Tecnológica,130.0,Português,131.9,0,0,1,Feminino,1,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduado,Graduado,0,0
Solteiro,Design de Animação e Multimédia,Ensino Secundário,133.0,Português,126.0,0,0,1,Masculino,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Matriculado,Matriculado,0,
Solteiro,Design de Comunicação,Ensino Secundário,127.0,Português,130.2,0,0,1,Masculino,0,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Matriculado,Matriculado,0,
Solteiro,Design de Comunicação,Ensino Secundário,116.0,Português,120.9,0,0,1,Masculino,0,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Matriculado,Matriculado,0,
Divorciado,Enfermagem,Ensino Básico (3º Ciclo),133.1,Português,126.0,0,0,1,Masculino,0,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Desistente,Desistente,1,1
Solteiro,Design de Animação e Multimédia,Ensino Secundário,139.0,Português,128.2,0,0,1,Masculino,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduado,Graduado,0,0
Solteiro,Agronomia,Curso de Especialização Tecnológica,130.0,Português,130.0,0,0,1,Masculino,0,0,0,6,8,6,12.571428571428502,0,0,6,7,6,12.428571428571399,0,8.9,1.4,3.51,Graduado,Graduado,0,0
Solteiro,Gestão,Ensino Secundário,125.0,Português,120.1,0,1,1,Masculino,0,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Desistente,Desistente,1,1
Solteiro,Turismo,Ensino Secundário,160.0,Português,100.0,0,0,1,Masculino,0,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Matriculado,Matriculado,0,
Solteiro,Gestão,Ensino Secundário,148.0,Português,134.0,0,0,1,Masculino,0,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Matriculado,Matriculado,0,
Solteiro,Enfermagem,Ensino Secundário,150.0,Português,130.8,0,0,1,Masculino,0,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduado,Graduado,0,0
Solteiro,Design de Animação e Multimédia,Ensino Secundário,141.0,Português,135.8,0,0,1,Masculino,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Desistente,Desistente,1,1
Solteiro,Turismo,Ensino Secundário,118.0,Português,111.7,0,0,1,Masculino,0,0,0,6,12,3,11.666666666666602,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Desistente,Desistente,1,1
Solteiro,Jornalismo e Comunicação,Ensino Secundário,142.0,Português,132.9,0,0,1,Masculino,0,0,0,6,8,6,12.333333333333304,0,0,6,11,3,12.333333333333304,0,10.8,1.4,1.74,Graduado,Graduado,0,0
Solteiro,Gestão,Ensino Secundário,120.0,Português,115.5,0,1,1,Masculino,0,0,0,5,8,3,10.333333333333304,0,0,5,11,3,10.857142857142803,0,10.8,1.4,1.74,Desistente,Desistente,1,1
Solteiro,Turismo,Ensino Secundário,106.0,Português,106.0,0,0,1,Masculino,1,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Desistente,Desistente,1,1
Solteiro,Jornalismo e Comunicação,Ensino Secundário,121.0,Português,120.3,0,1,1,Masculino,1,0,0,6,6,6,13.6666666666666,0,0,6,6,6,13.333333333333304,0,8.9,1.4,3.51,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,150.0,Português,130.8,0,0,1,Masculino,1,0,0,7,7,7,14.842857142857095,0,0,8,9,8,15.0555555555555,0,16.2,0.3,-0.92,Graduado,Graduado,0,0
Casado,Serviço Social (prestação nocturna),Ensino Secundário,120.0,Português,117.0,0,0,1,Masculino,0,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666602,0,10.8,1.4,1.74,Graduado,Graduado,0,0
Solteiro,Ensino Básico,Ensino Secundário,114.0,Português,110.2,0,0,1,Masculino,0,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Desistente,Desistente,1,1
Solteiro,Gestão (presencial noturno),Ensino Superior - Licenciatura,140.0,Português,155.7,0,0,1,Masculino,0,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Desistente,Desistente,1,1
Solteiro,Agronomia,Ensino Superior - Mestrado,160.0,Português,180.4,0,1,1,Masculino,0,0,6,12,17,6,12.166666666666602,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Desistente,Desistente,1,1
Solteiro,Turismo,Ensino Secundário,120.0,Português,125.5,0,0,1,Masculino,0,0,0,5,6,5,12.0,0,0,5,8,3,11.333333333333304,0,12.7,3.7,-1.7,Matriculado,Matriculado,0,
Casado,Serviço Social (prestação nocturna),Ensino Secundário,130.0,Português,110.0,0,0,1,Feminino,0,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,160.0,Português,161.0,0,0,1,Feminino,1,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduado,Graduado,0,0
Solteiro,Gestão de Publicidade e Marketing,Ensino Secundário,120.0,Português,100.0,0,0,1,Feminino,1,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduado,Graduado,0,0
Solteiro,Design de Comunicação,Ensino Secundário,124.0,Português,117.6,0,0,1,Masculino,0,0,0,6,9,6,10.666666666666602,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduado,Graduado,0,0
Solteiro,Gestão,Ensino Secundário,143.0,Português,128.7,0,0,1,Masculino,0,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Matriculado,Matriculado,0,
Solteiro,Engenharia Informática,Ensino Secundário,115.0,Português,112.2,0,1,1,Masculino,0,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Matriculado,Matriculado,0,
Solteiro,Enfermagem,Ensino Secundário,133.1,Português,100.8,0,0,1,Masculino,0,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Desistente,Desistente,1,1
Solteiro,Jornalismo e Comunicação,Ensino Secundário,133.1,Brasileiro,105.0,0,0,0,Feminino,0,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduado,Graduado,0,0
Solteiro,Equincultura,Ensino Secundário,133.1,Brasileiro,100.0,0,0,1,Feminino,0,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Desistente,Desistente,1,1
Casado,Ensino Básico,11º Ano de Escolaridade - Não Concluído,133.1,Português,115.5,0,0,1,Feminino,0,0,0,6,12,3,12.666666666666602,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Desistente,Desistente,1,1
Casado,Serviço Social (prestação nocturna),Ensino Secundário,133.1,Português,114.0,0,0,1,Feminino,0,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333304,0,12.7,3.7,-1.7,Graduado,Graduado,0,0
Solteiro,Engenharia Informática,Ensino Secundário,130.0,Santomense,137.0,0,0,1,Masculino,0,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Matriculado,Matriculado,0,
Solteiro,Jornalismo e Comunicação,Ensino Secundário,135.0,Português,124.9,0,0,1,Feminino,0,0,0,6,6,6,13.6666666666666,0,0,6,6,6,13.333333333333304,0,8.9,1.4,3.51,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,132.0,Português,120.3,0,0,1,Feminino,1,0,0,7,7,7,13.75,0,0,8,9,8,14.477777777777698,0,12.4,0.5,1.79,Graduado,Graduado,0,0
Solteiro,Enfermagem Veterinária,Ensino Secundário,135.0,Português,134.3,0,0,1,Feminino,0,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Matriculado,Matriculado,0,
Solteiro,Enfermagem,Ensino Secundário,115.0,Português,111.5,0,1,0,Feminino,0,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Desistente,Desistente,1,1
Solteiro,Enfermagem Veterinária,Curso Técnico Superior Profissional,130.0,Português,128.8,0,0,1,Feminino,0,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Desistente,Desistente,1,1
Solteiro,Design de Animação e Multimédia,Ensino Secundário,133.1,Português,110.0,0,0,1,Feminino,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduado,Graduado,0,0
Casado,Serviço Social (prestação nocturna),Ensino Secundário,130.0,Português,113.5,0,0,1,Feminino,0,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Desistente,Desistente,1,1
Divorciado,Agronomia,Outro - 11º Ano de Escolaridade,133.1,Português,160.0,0,0,1,Feminino,0,0,13,18,19,18,14.631578947368402,0,10,13,14,13,14.230769230769198,1,15.5,2.8,-4.06,Graduado,Graduado,0,0
Solteiro,Ensino Básico,Ensino Secundário,123.0,Português,117.4,0,0,1,Feminino,0,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Desistente,Desistente,1,1
Solteiro,Design de Comunicação,Ensino Secundário,130.0,Português,122.2,0,1,1,Feminino,0,0,4,10,12,10,13.0,0,5,11,11,11,12.272727272727199,0,11.1,0.6,2.02,Graduado,Graduado,0,0
Solteiro,Serviço Social,Ensino Secundário,122.0,Português,118.2,0,0,1,Feminino,0,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Desistente,Desistente,1,1
Solteiro,Enfermagem Veterinária,Ensino Secundário,113.0,Português,106.7,0,0,1,Feminino,0,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Desistente,Desistente,1,1
Solteiro,Enfermagem,Ensino Secundário,111.0,Português,108.2,0,0,1,Feminino,0,0,2,7,9,6,13.2666666666666,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Desistente,Desistente,1,1
Solteiro,Ensino Básico,Ensino Secundário,133.1,Português,107.0,0,0,1,Feminino,0,0,0,7,12,6,11.666666666666602,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,Matriculado,Matriculado,0,
Solteiro,Serviço Social,Ensino Secundário,142.0,Português,136.1,0,0,1,Feminino,0,0,0,6,8,6,13.8571428571428,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduado,Graduado,0,0
Solteiro,Gestão,Ensino Secundário,123.0,Português,115.3,0,0,1,Feminino,1,0,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,Matriculado,Matriculado,0,
Solteiro,Enfermagem Veterinária,Ensino Secundário,131.0,Português,139.8,0,0,1,Feminino,0,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduado,Graduado,0,0
Solteiro,Jornalismo e Comunicação,Ensino Secundário,158.0,Português,157.0,0,0,1,Feminino,0,0,0,6,6,6,12.666666666666602,0,0,6,7,6,12.571428571428502,0,10.8,1.4,1.74,Graduado,Graduado,0,0
Solteiro,Enfermagem,Ensino Secundário,122.0,Português,131.0,0,0,1,Feminino,0,0,0,7,7,6,12.516666666666602,1,0,7,7,6,12.516666666666602,1,7.6,2.6,0.32,Desistente,Desistente,1,1
Solteiro,Enfermagem,Ensino Secundário,130.0,Português,100.0,0,0,1,Feminino,0,0,0,7,11,6,11.616666666666601,0,0,7,7,7,13.0,0,13.9,-0.3,0.79,Matriculado,Matriculado,0,
Solteiro,Serviço Social,Ensino Secundário,154.0,Português,140.4,0,0,1,Feminino,1,0,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Matriculado,Matriculado,0,
Solteiro,Gestão,Ensino Secundário,120.0,Português,113.4,0,0,1,Feminino,0,0,0,5,11,3,10.333333333333304,0,0,5,10,3,10.666666666666602,0,12.4,0.5,1.79,Matriculado,Matriculado,0,
Solteiro,Enfermagem Veterinária,Ensino Secundário,140.0,Português,137.0,0,0,1,Feminino,0,0,0,5,12,5,13.142857142857096,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,Graduado,Graduado,0,0
Solteiro,Gestão,Ensino Secundário,127.0,Português,121.8,0,0,1,Feminino,0,0,0,5,5,5,12.6,0,0,5,5,5,14.0,0,11.1,0.6,2.02,Graduado,Graduado,0,0
Solteiro,Turismo,Ensino Secundário,133.1,Português,131.0,0,0,1,Feminino,0,0,0,6,12,3,11.0,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,Desistente,Desistente,1,1
